,time,load,forecast_load,wind,forecast_wind,solar,forecast_solar,inertia,forecast_other_generation,other_generation
785,2021-02-02 20:00:00,41005.22571,41501.80078125,12688.65912,11344.800000000001,0.051049232,0.0,202814.5866,30157.000781249997,28316.515540768
786,2021-02-02 21:00:00,40785.01379,41338.6015625,15249.49939,13411.2,0.051049232,0.0,192501.1847,27927.4015625,25535.463350767997
787,2021-02-02 22:00:00,39903.9505,40270.6015625,16414.82586,14888.9,0.051049232,0.0,189224.2191,25381.7015625,23489.073590768
788,2021-02-02 23:00:00,38196.85439,38705.30078125,16509.56275,16335.7,0.051049232,0.0,179076.8691,22369.60078125,21687.240590768
789,2021-02-03 00:00:00,36571.17459,36951.6015625,16483.26153,16322.7,0.051049232,0.0,168627.9771,20628.9015625,20087.862010768004
790,2021-02-03 01:00:00,35623.947,36373.80078125,16009.10239,16171.800000000001,0.051049232,0.0,164042.3089,20202.000781249997,19614.793560768
791,2021-02-03 02:00:00,35239.42118,35148.6015625,15233.96872,15362.4,0.051049232,0.0,161273.7903,19786.2015625,20005.401410767998
792,2021-02-03 03:00:00,35210.22161,34983.30078125,14228.76232,14503.300000000001,0.051049232,0.0,162723.1349,20480.000781249997,20981.408240768
793,2021-02-03 04:00:00,35663.39076,35138.19921875,13719.69689,13937.5,0.051049232,0.0,165393.2841,21200.69921875,21943.642820768004
794,2021-02-03 05:00:00,36864.39442,36719.3984375,13233.71223,13777.300000000001,0.051049232,0.0,167608.0227,22942.098437499997,23630.631140768
795,2021-02-03 06:00:00,39144.1242,39028.0,12278.24734,13796.4,0.051314751,0.0,184813.1389,25231.6,26865.825545248998
796,2021-02-03 07:00:00,43038.34583,43008.5,12357.45347,13799.300000000001,0.051049232,0.0,193531.8038,29209.199999999997,30680.841310768
797,2021-02-03 08:00:00,44664.38653,44895.6015625,12787.79725,13764.2,41.33189426,46.800000000000004,194435.9369,31084.6015625,31835.257385740002
798,2021-02-03 09:00:00,43857.85707,43532.6015625,12423.44536,12659.1,1618.853895,1157.6000000000001,194142.623,29715.901562500003,29815.557815
799,2021-02-03 10:00:00,42123.88907,41854.5,9788.715992,11157.7,3933.239858,3631.4,185695.2288,27065.399999999998,28401.93322
800,2021-02-03 11:00:00,40610.84655,41634.8984375,8961.648398,9858.2,4335.266083,4380.0,182832.0352,27396.6984375,27313.932069000002
801,2021-02-03 12:00:00,39571.5656,40642.5,9195.348261,9620.800000000001,4262.643762,4364.5,179280.6491,26657.199999999997,26113.573577000003
802,2021-02-03 13:00:00,38763.95834,39413.3984375,9413.986018,9746.2,4099.465181,4363.1,174736.8705,25304.098437499997,25250.507141
803,2021-02-03 14:00:00,38376.14504,38402.6015625,10962.5029,10990.2,4008.222303,4349.0,172525.9094,23063.4015625,23405.419837000005
